Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbsoluteNameLocationStrategy",1,0.00,3.00,7,0.10,2394.70,1,0,3,1,6,130.31,18,16,13.00
"AbstractCombinerTest",4,0.11,1.00,19,0.24,5211.28,7,3,10,5,11,85.85,25,34,17.00
"AbstractConfiguration",111,0.12,1.42,467,5.72,188105.81,118,7,30,111,59,78.98,787,937,17.00
"AbstractConfiguration$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.03,326.67,1,0,30,1,1,133.17,0,8,3.00
"AbstractEventListenerTestImpl",6,0.20,1.33,23,0.27,5297.19,8,2,5,6,5,93.50,36,43,5.00
"AbstractHierarchicalConfiguration",37,0.46,1.51,180,2.47,90347.26,39,2,24,37,20,72.80,397,345,22.00
"AbstractHierarchicalConfiguration$DefinedKeysVisitor",6,0.20,1.33,26,0.30,7101.56,8,2,24,6,2,92.62,35,46,9.00
"AbstractHierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.09,1838.62,4,1,24,3,2,84.83,24,21,24.00
"AbstractImmutableNodeHandler",14,0.00,1.21,38,0.56,13269.77,14,0,4,14,8,164.58,33,89,15.00
"AbstractImmutableNodeHandlerTest",26,0.00,1.19,136,2.33,71252.57,26,0,12,26,6,127.14,91,261,23.00
"AbstractImmutableNodeHandlerTest$DummyNodeMatcher",1,0.00,1.00,3,0.04,612.77,1,0,12,1,2,151.64,3,7,5.00
"AbstractImmutableNodeHandlerTest$NodeMatcher<ImmutableNode>",1,0.00,1.00,4,0.06,1291.90,1,0,12,1,2,123.81,0,10,7.00
"AbstractListDelimiterHandler",8,0.00,2.00,36,0.57,27938.54,8,0,5,8,6,79.79,95,73,16.00
"AbstractMultiFileConfigurationBuilderTest",5,0.25,1.20,18,0.19,3417.19,8,3,5,5,7,85.36,35,42,14.00
"AbstractTestConfigurationEvents",10,0.42,1.00,64,0.69,10524.91,15,5,3,10,9,105.87,46,105,10.00
"AbstractTestPListEvents",2,1.00,1.00,13,0.14,1962.68,4,2,3,2,4,74.60,14,27,6.00
"AbstractXPathTest",6,0.07,1.83,49,0.54,20288.12,14,8,9,6,7,60.66,48,71,11.00
"AbstractYAMLBasedConfiguration",9,0.00,2.00,60,0.82,33295.87,9,0,9,9,7,61.93,78,101,14.00
"AlwaysReloadingDetector",2,0.00,1.00,4,0.02,146.96,2,0,0,2,3,119.28,11,12,1.00
"AppletConfiguration",3,0.50,1.33,15,0.17,7475.66,4,1,3,3,2,105.67,14,24,7.00
"AutoSaveListener",7,0.00,1.57,26,0.24,4305.94,11,4,7,8,7,78.19,68,57,11.00
"BaseConfiguration",10,0.11,1.50,44,0.58,21573.32,11,1,7,11,31,74.68,75,95,9.00
"BaseConfigurationBuilderProvider",16,0.09,1.56,76,0.97,28209.49,21,5,11,16,14,79.59,186,159,15.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.10,949.15,7,1,0,6,3,97.16,40,33,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.06,1005.81,2,0,0,2,1,80.98,16,17,3.00
"BaseEventSource",17,0.06,1.53,65,0.86,23091.89,20,3,4,18,11,75.14,166,142,12.00
"BaseHierarchicalConfiguration",33,0.97,1.42,173,2.18,71024.79,34,1,24,33,56,69.60,263,339,18.00
"BaseHierarchicalConfiguration$BaseHierarchicalConfiguration",2,0.00,1.00,5,0.04,599.36,2,0,24,2,1,181.19,1,13,3.00
"BaseHierarchicalConfiguration$BuilderVisitor",5,0.00,2.60,36,0.49,39071.84,5,0,24,5,4,67.35,58,72,26.00
"BaseHierarchicalConfiguration$EventListener<ConfigurationEvent>",1,0.00,1.00,3,0.02,175.66,1,0,24,1,1,135.30,0,8,1.00
"BaseHierarchicalConfiguration$InterpolatedVisitor",13,0.25,1.38,51,0.74,21141.56,15,2,24,13,3,91.98,77,116,15.00
"BaseNonStringProperties",23,0.00,1.00,66,0.70,10601.48,25,2,3,24,4,163.14,4,137,12.00
"BasePathLocationStrategy",1,0.00,3.00,7,0.10,1944.30,1,0,3,1,6,146.27,20,18,13.00
"BaseWebConfiguration",5,0.00,1.20,14,0.17,4156.48,5,0,2,5,5,82.57,50,33,13.00
"BasicBuilderParameters",29,0.03,1.76,138,1.83,61124.69,41,12,13,29,34,69.20,267,300,19.00
"BasicBuilderProperties",11,0.00,1.00,12,1.64,28398.13,11,0,10,11,19,97.87,120,14,0.00
"BasicConfigurationBuilder",36,0.08,1.56,157,1.87,46937.28,42,6,20,36,43,74.83,371,295,15.00
"BasicConfigurationBuilder$BeanDeclaration",6,0.00,1.00,13,0.10,1175.49,6,0,20,6,1,184.96,3,33,5.00
"BeanCreationContext",5,0.00,1.00,6,0.23,3371.02,5,0,0,5,9,106.76,33,8,0.00
"BeanCreationTestBean",6,0.20,1.00,16,0.09,956.29,9,3,0,6,6,185.45,4,30,0.00
"BeanCreationTestBeanWithListChild",6,0.13,1.00,17,0.12,1591.84,9,3,2,7,3,184.33,5,31,0.00
"BeanCreationTestCtorBean",4,0.00,1.00,9,0.05,445.35,4,0,0,4,2,191.52,4,19,0.00
"BeanDeclaration",6,0.00,1.00,7,0.32,4279.34,6,0,2,6,19,95.87,53,9,0.00
"BeanDeclarationTestImpl",12,0.08,1.00,31,0.25,3258.06,18,6,2,12,4,182.79,7,64,0.00
"BeanFactory",2,0.00,1.00,3,0.05,577.00,2,0,0,2,6,100.70,22,5,0.00
"BeanHelper",23,0.12,2.26,140,1.94,93379.86,27,4,19,25,25,71.86,265,288,23.00
"BeanHelper$BeanCreationContextImpl",6,0.00,1.00,20,0.17,3002.17,10,4,19,6,3,169.89,12,40,4.00
"BuilderConfigurationWrapperFactory",6,0.80,1.50,23,0.32,12631.56,7,1,6,6,8,105.80,86,55,13.00
"BuilderConfigurationWrapperFactory$BuilderConfigurationWrapperInvocationHandler",4,0.17,1.25,15,0.22,5010.15,6,2,6,4,3,89.26,49,36,8.00
"BuilderConfigurationWrapperFactory$EventSourceSupport",0,0.00,0.00,1,0.01,15.51,0,0,6,0,0,171.00,34,6,0.00
"BuilderEventListenerImpl",4,0.17,1.25,18,0.21,5071.27,6,2,8,5,8,77.78,29,36,7.00
"BuilderParameters",1,1.00,1.00,3,0.03,273.15,2,1,1,1,37,142.92,17,5,0.00
"CatalogResolver",12,0.04,1.50,58,0.71,25096.91,19,7,17,13,10,69.12,105,108,17.00
"CatalogResolver$Catalog",3,0.00,5.33,62,0.92,50481.77,5,2,17,4,3,37.66,26,118,71.00
"CatalogResolver$CatalogManager",8,0.07,1.50,32,0.31,8609.35,12,4,17,9,2,92.10,48,63,5.00
"ClasspathLocationStrategy",1,0.00,1.00,3,0.05,954.47,1,0,2,1,6,138.64,17,9,49.00
"CombinedBeanDeclaration",7,0.00,2.71,60,0.54,21529.41,8,1,7,7,4,59.22,69,90,10.00
"CombinedBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,6,171.00,0,5,0.00
"CombinedBuilderParametersImpl",24,0.03,1.38,94,1.00,24299.25,32,8,13,24,17,75.08,209,193,13.00
"CombinedBuilderProperties",8,0.00,1.00,9,1.33,27138.70,8,0,5,8,7,107.42,100,14,0.00
"CombinedConfiguration",35,0.03,1.97,244,2.29,64442.25,44,9,25,38,40,77.34,427,470,15.00
"CombinedConfiguration$ConfigData",10,0.00,1.30,51,0.58,16167.72,15,5,25,10,5,73.93,74,98,13.00
"CombinedConfigurationBuilder",42,0.00,1.88,292,4.28,161778.53,92,50,40,47,51,99.85,627,587,100.00
"CombinedConfigurationBuilder$ConfigurationSourceData",13,0.07,1.85,86,1.11,43339.48,20,7,40,13,9,65.87,99,154,17.00
"CombinedConfigurationBuilder$ConfigurationSourceData$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,3,0.02,139.81,1,0,40,1,1,136.08,0,8,1.00
"CombinedConfigurationBuilder$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,5,0.03,439.66,1,0,40,1,2,123.88,0,12,2.00
"CombinedConfigurationBuilderProvider",4,0.07,1.25,21,0.30,6841.50,9,5,7,4,9,74.26,44,54,25.00
"CombinedLocationStrategy",3,0.50,2.33,19,0.17,5042.18,4,1,4,3,6,108.11,46,39,6.00
"CombinedReloadingController",5,0.00,1.60,25,0.22,7909.84,8,3,3,6,6,103.10,72,47,6.00
"CombinedReloadingController$MultiReloadingControllerDetector",3,0.00,2.00,19,0.11,2036.27,4,1,3,3,3,71.71,23,30,4.00
"CompositeConfiguration",27,0.04,2.41,203,1.95,66699.75,30,3,10,28,11,62.43,220,364,17.00
"Configuration",8,0.00,1.00,9,0.90,17878.28,8,0,5,8,95,104.92,96,12,0.00
"ConfigurationAssert",10,0.22,1.60,51,0.60,17610.85,14,4,12,11,55,72.40,76,80,10.00
"ConfigurationAttributePointer",14,0.38,1.07,35,0.33,5367.19,16,2,7,14,5,93.27,98,86,9.00
"ConfigurationBuilder",1,0.00,1.00,2,0.03,338.28,1,0,3,1,27,91.52,8,4,0.00
"ConfigurationBuilderEvent",2,3.00,1.00,8,0.12,3307.85,5,3,2,3,19,166.91,44,20,7.00
"ConfigurationBuilderProvider",1,0.00,1.00,2,0.02,289.00,1,0,3,1,10,91.68,10,6,0.00
"ConfigurationBuilderResultCreatedEvent",2,0.00,1.50,10,0.10,2437.73,4,2,2,3,10,156.78,41,25,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,5,96.19,8,4,0.00
"ConfigurationConsumer",1,0.00,1.00,2,0.02,228.96,1,0,1,1,6,108.74,6,4,0.00
"ConfigurationConverter",6,1.00,1.67,35,0.39,17241.72,7,1,6,6,10,65.66,50,65,18.00
"ConfigurationDeclaration",10,0.89,1.20,30,0.38,10140.93,11,1,3,10,14,79.74,85,76,17.00
"ConfigurationDecoder",1,0.00,1.00,2,0.01,68.50,1,0,0,1,7,95.09,9,4,0.00
"ConfigurationDynaBean",11,0.30,2.82,79,1.17,49198.55,13,2,10,12,6,111.69,43,154,25.00
"ConfigurationDynaClass",5,0.12,4.00,52,0.68,35484.53,7,2,9,6,2,126.53,14,98,24.00
"ConfigurationErrorEvent",5,0.06,1.00,23,0.23,5366.38,13,8,0,6,19,146.91,94,41,0.00
"ConfigurationEvent",4,0.03,1.00,25,0.35,10158.20,17,13,0,5,40,132.85,133,47,0.00
"ConfigurationException",4,1.00,1.00,10,0.06,510.14,5,1,0,4,114,92.31,31,20,0.00
"ConfigurationInterpolator",25,0.00,1.60,116,1.05,30602.14,35,10,12,26,27,79.47,284,203,18.00
"ConfigurationInterpolator$StringLookup",1,0.00,1.00,4,0.04,1229.85,1,0,11,1,0,123.98,0,9,3.00
"ConfigurationLogger",16,0.93,1.12,38,0.31,4824.27,17,1,3,16,18,89.34,127,77,8.00
"ConfigurationLookup",3,0.50,1.33,10,0.07,1015.32,4,1,1,3,7,87.14,33,22,3.00
"ConfigurationMap",5,0.25,1.00,15,0.16,2899.93,6,1,5,5,6,89.48,57,78,7.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.13,2711.65,4,1,5,3,1,128.23,11,24,7.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.09,1387.05,5,1,5,4,0,185.92,4,23,4.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.10,1551.79,5,1,5,4,0,182.59,4,25,6.00
"ConfigurationNodeIteratorAttribute",5,0.08,1.80,28,0.43,16984.78,8,3,7,5,4,66.77,40,60,10.00
"ConfigurationNodeIteratorBase",14,0.08,1.14,40,0.40,8005.41,20,6,5,14,3,86.73,104,79,21.00
"ConfigurationNodeIteratorChildren",7,0.67,2.86,59,0.75,29454.90,8,1,10,7,3,57.32,62,106,14.00
"ConfigurationNodePointer",18,0.20,1.22,57,0.57,12521.82,21,3,8,18,11,86.11,129,121,12.00
"ConfigurationNodePointerFactory",4,1.00,1.50,16,0.25,7466.85,5,1,5,4,5,112.08,60,38,13.00
"ConfigurationNodePointerFactory$NodeWrapper",3,0.25,1.00,10,0.06,786.28,5,2,5,3,1,84.12,24,18,0.00
"ConfigurationNodeVisitor",3,0.00,1.00,4,0.13,2091.01,3,0,0,3,5,94.57,25,6,0.00
"ConfigurationNodeVisitorAdapter",3,0.00,1.00,5,0.06,661.86,3,0,0,3,5,97.41,23,17,3.00
"ConfigurationPropertiesFactoryBean",14,0.08,1.43,51,0.48,13965.27,18,4,11,14,5,126.35,56,91,14.00
"ConfigurationPropertySource",4,0.00,1.25,13,0.16,3899.27,4,0,5,4,2,176.96,3,27,7.00
"ConfigurationRuntimeException",5,1.00,1.00,12,0.08,890.88,6,1,0,5,45,90.76,40,24,0.00
"ConfigurationUtils",24,0.16,2.08,125,1.68,59175.27,29,5,18,26,32,86.24,308,266,18.00
"ConfigurationUtils$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.03,390.86,1,0,18,1,2,182.56,1,9,3.00
"ConfigurationUtils$EventSource",2,0.00,1.00,4,0.08,1437.01,2,0,18,2,2,137.05,0,14,7.00
"ConfigurationXMLReader",24,0.07,1.38,68,0.60,10573.11,30,6,10,25,2,94.37,158,155,12.00
"Configurations",41,0.97,1.00,84,1.08,19302.76,42,1,10,41,14,90.36,419,188,14.00
"ConstantLookup",4,0.00,2.25,32,0.38,15647.37,7,3,6,6,2,117.64,68,64,18.00
"ConstructorArg",11,0.17,1.27,39,0.37,9470.27,14,3,0,11,12,85.13,125,72,12.00
"ConversionException",4,1.00,1.00,10,0.06,510.14,5,1,0,4,9,91.24,32,20,0.00
"ConversionHandler",3,0.00,1.00,4,0.24,5295.24,3,0,3,3,11,136.79,47,7,0.00
"CopyObjectDefaultHandler",3,0.50,1.67,13,0.12,2352.14,4,1,2,3,8,139.29,53,32,7.00
"DataConfiguration",97,0.16,1.05,232,2.98,67135.41,102,5,16,98,7,90.25,1069,487,14.00
"DataConfiguration$DataConversionHandler",1,0.00,3.00,8,0.09,2348.08,1,0,16,1,1,128.21,18,18,6.00
"DatabaseBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,7,171.00,0,5,0.00
"DatabaseBuilderParametersImpl",7,0.00,1.00,29,0.24,3058.32,14,7,1,7,5,141.66,23,54,5.00
"DatabaseBuilderProperties",7,0.00,1.00,8,0.50,8445.74,7,0,1,7,1,96.23,56,10,0.00
"DatabaseConfiguration",27,0.06,1.52,94,1.88,64038.54,39,12,18,27,10,76.41,278,186,15.00
"DatabaseConfiguration$JdbcOperation",7,0.17,1.71,48,0.50,13721.32,14,7,18,7,2,71.94,80,84,8.00
"DatabaseConfiguration$JdbcOperation<Boolean>",1,0.00,1.00,4,0.05,910.01,1,0,18,1,1,125.01,0,13,5.00
"DatabaseConfiguration$JdbcOperation<Collection<String>>",1,0.00,2.00,6,0.08,2096.11,1,0,18,1,1,115.36,0,17,8.00
"DatabaseConfiguration$JdbcOperation<Integer>",1,0.00,1.00,4,0.07,1613.50,1,0,18,1,1,123.05,0,13,8.00
"DatabaseConfiguration$JdbcOperation<Object>",1,0.00,4.00,14,0.19,7980.41,1,0,18,1,1,146.60,1,28,9.00
"DatabaseConfiguration$JdbcOperation<Void>",1,0.00,4.00,17,0.23,8990.69,1,0,18,1,2,93.05,0,32,9.00
"DatabaseConfiguration$JdbcOperation<Void>_0",1,0.00,1.00,5,0.06,972.52,1,0,18,1,2,121.17,0,14,5.00
"DatabaseConfiguration$JdbcOperation<Void>_1",1,0.00,1.00,4,0.04,432.19,1,0,18,1,2,127.56,0,11,5.00
"DatabaseConfigurationTestHelper",13,0.03,1.31,61,0.72,14513.81,26,13,16,13,10,71.66,118,118,19.00
"DefaultBeanFactory",15,0.26,1.67,79,1.08,38774.68,18,3,8,16,12,69.79,156,147,15.00
"DefaultConfigurationKey",28,0.20,1.75,122,1.63,53050.95,31,3,3,28,8,73.42,220,263,28.00
"DefaultConfigurationKey$KeyIterator",20,0.03,1.80,102,1.10,39148.17,26,6,3,20,0,68.59,172,203,19.00
"DefaultConversionHandler",16,0.16,1.69,82,1.35,50041.27,21,5,7,18,17,83.49,201,157,27.00
"DefaultConversionHandler$ConfigurationInterpolator",1,0.00,1.00,3,0.01,236.11,1,0,7,1,0,134.28,0,8,2.00
"DefaultEntityResolver",3,1.00,2.33,22,0.28,9297.23,4,1,9,4,1,110.22,48,45,13.00
"DefaultExpressionEngine",13,0.22,2.23,79,1.45,60529.27,16,3,4,14,24,152.07,274,181,20.00
"DefaultExpressionEngineSymbols",11,0.05,1.18,46,0.57,13622.89,24,13,3,11,12,73.60,94,99,49.00
"DefaultExpressionEngineSymbols$Builder",9,0.06,1.00,35,0.22,2690.06,15,6,3,9,1,79.50,78,55,3.00
"DefaultFileSystem",9,0.00,3.78,86,1.10,51320.91,9,0,11,9,8,133.62,23,198,18.00
"DefaultFileSystem$HttpOutputStream",8,0.07,1.12,21,0.23,4170.26,10,2,11,8,1,182.59,6,49,11.00
"DefaultListDelimiterHandler",5,0.00,3.20,58,0.65,41027.97,8,3,4,5,35,89.38,75,92,39.00
"DefaultLookups",3,0.25,1.00,10,0.54,10021.35,5,2,1,21,7,76.05,139,45,0.00
"DefaultParametersHandler",1,0.00,1.00,2,0.02,166.86,1,0,0,1,8,104.48,12,4,0.00
"DefaultParametersManager",6,0.40,2.00,30,0.32,8359.77,7,1,3,6,8,149.68,117,57,9.00
"DefaultParametersManager$DefaultHandlerData",3,0.83,1.33,14,0.19,4351.37,6,3,3,3,2,78.69,34,31,25.00
"DefaultReloadingDetectorFactory",1,0.00,1.00,6,0.09,2782.88,1,0,4,1,8,70.49,11,17,11.00
"DisabledListDelimiterHandler",3,1.00,1.00,10,0.12,2531.97,4,1,3,4,16,101.83,40,23,6.00
"DummyLookup",1,0.00,1.00,3,0.02,191.63,1,0,0,1,3,174.30,21,9,2.00
"DynamicCombinedConfiguration",84,0.08,1.25,295,3.32,68058.70,92,8,22,88,15,153.91,228,605,13.00
"DynamicCombinedConfiguration$ConfigData",4,0.11,1.00,14,0.07,806.50,7,3,22,4,1,88.19,29,24,0.00
"DynamicCombinedConfiguration$ConfigurationInterpolator",1,0.00,1.00,3,0.03,458.69,1,0,22,1,1,132.01,0,10,5.00
"DynamicCombinedConfiguration$CurrentConfigHolder",6,0.07,1.00,16,0.08,711.99,9,3,22,6,1,97.63,41,31,1.00
"EntityRegistry",2,0.00,1.00,3,0.05,545.36,2,0,2,2,0,124.88,28,5,0.00
"EntityResolverSupport",2,0.00,1.00,3,0.03,202.53,2,0,1,2,0,148.64,8,5,0.00
"EnvironmentConfiguration",4,0.00,1.00,9,0.09,1013.10,4,0,1,4,2,93.26,43,22,4.00
"EnvironmentLookup",1,0.00,1.00,3,0.02,353.20,1,0,0,1,1,169.94,30,8,4.00
"ErrorListenerTestImpl",2,0.00,1.00,9,0.12,2851.28,2,0,1,2,7,73.09,20,18,12.00
"Event",4,0.00,1.25,22,0.26,5565.77,8,4,1,5,20,98.20,56,37,8.00
"EventListener",1,0.00,1.00,2,0.02,250.84,1,0,0,1,37,96.52,11,4,0.00
"EventListenerList",13,0.42,1.62,56,0.84,31723.80,14,1,9,13,11,72.88,134,114,17.00
"EventListenerList$EventListenerIterator",9,0.00,1.44,38,0.46,10518.47,13,4,9,9,4,98.41,49,80,13.00
"EventListenerList$Iterable<EventListener<?superT>>",1,0.00,1.00,3,0.03,367.87,1,0,9,1,1,132.77,0,8,3.00
"EventListenerParameters",5,0.25,1.00,14,0.14,2466.43,6,1,7,5,10,88.75,55,31,6.00
"EventListenerProvider",1,0.00,1.00,2,0.01,40.30,1,0,1,1,2,98.79,8,4,0.00
"EventListenerRegistrationData",5,0.17,1.80,26,0.28,8994.31,8,3,0,5,13,68.30,46,52,8.00
"EventListenerTestImpl",2,0.00,1.00,8,0.11,2104.89,2,0,1,2,13,76.04,20,15,8.00
"EventSource",2,0.00,1.00,3,0.13,2983.13,2,0,0,2,7,95.08,22,7,0.00
"EventType",6,0.05,1.50,28,0.31,9938.89,10,4,3,6,37,86.71,75,51,10.00
"ExprLookup",15,0.02,1.33,62,0.56,14003.87,25,10,12,16,5,75.01,126,110,9.00
"ExprLookup$StringLookup",1,0.00,1.00,4,0.05,1284.32,1,0,11,1,0,123.83,0,9,4.00
"ExprLookup$Variable",6,0.30,1.50,25,0.25,12988.71,8,2,12,6,1,171.27,6,51,2.00
"ExprLookup$Variables",3,1.00,1.00,8,0.06,714.18,4,1,12,3,0,113.05,16,16,41.00
